source,target,weight,type,electrode
e0_t29,e0_t30,0.2667,intra,FP1
e0_t30,e0_t31,0.2,intra,FP1
e0_t31,e0_t32,0.3333,intra,FP1
e0_t32,e0_t33,0.2,intra,FP1
e0_t33,e0_t34,0.2667,intra,FP1
e0_t36,e0_t37,0.3333,intra,FP1
e0_t37,e0_t38,0.3333,intra,FP1
e0_t43,e0_t44,0.2,intra,FP1
e0_t44,e0_t45,0.2,intra,FP1
e0_t46,e0_t47,0.2667,intra,FP1
e0_t47,e0_t48,0.2667,intra,FP1
e0_t50,e0_t51,0.3333,intra,FP1
e0_t51,e0_t52,0.2667,intra,FP1
e0_t51,e0_t53,0.2,intra,FP1
e0_t56,e0_t57,0.3333,intra,FP1
e0_t59,e0_t60,0.2667,intra,FP1
e0_t66,e0_t67,0.2667,intra,FP1
e0_t70,e0_t71,0.2667,intra,FP1
e0_t71,e0_t72,0.2,intra,FP1
e0_t74,e0_t75,0.2667,intra,FP1
e0_t75,e0_t76,0.2,intra,FP1
e0_t76,e0_t77,0.2,intra,FP1
e0_t78,e0_t79,0.2667,intra,FP1
e0_t83,e0_t84,0.2,intra,FP1
e0_t84,e0_t85,0.2,intra,FP1
e0_t85,e0_t86,0.2667,intra,FP1
e0_t87,e0_t88,0.2,intra,FP1
e0_t88,e0_t89,0.3333,intra,FP1
e0_t90,e0_t91,0.2,intra,FP1
e0_t100,e0_t101,0.3333,intra,FP1
e0_t104,e0_t105,0.3333,intra,FP1
e0_t111,e0_t112,0.2667,intra,FP1
e0_t114,e0_t115,0.2667,intra,FP1
e0_t117,e0_t118,0.2,intra,FP1
e0_t118,e0_t119,0.2667,intra,FP1
e0_t133,e0_t134,0.2,intra,FP1
e0_t137,e0_t138,0.2,intra,FP1
e0_t140,e0_t141,0.2,intra,FP1
e0_t141,e0_t142,0.2667,intra,FP1
e0_t142,e0_t143,0.2667,intra,FP1
e0_t144,e0_t145,0.2,intra,FP1
e0_t151,e0_t152,0.2,intra,FP1
e0_t152,e0_t153,0.2,intra,FP1
e0_t159,e0_t160,0.2,intra,FP1
e0_t161,e0_t162,0.3333,intra,FP1
e0_t162,e0_t163,0.2,intra,FP1
e0_t163,e0_t164,0.2,intra,FP1
e0_t164,e0_t165,0.3333,intra,FP1
e0_t190,e0_t191,0.2667,intra,FP1
e0_t194,e0_t195,0.3333,intra,FP1
e0_t195,e0_t196,0.2667,intra,FP1
e0_t196,e0_t197,0.3333,intra,FP1
e0_t198,e0_t199,0.3333,intra,FP1
e0_t199,e0_t200,0.2667,intra,FP1
e0_t206,e0_t207,0.2,intra,FP1
e0_t208,e0_t209,0.2,intra,FP1
e0_t209,e0_t210,0.2667,intra,FP1
e0_t209,e0_t212,0.2,intra,FP1
e0_t217,e0_t218,0.3333,intra,FP1
e0_t218,e0_t219,0.2667,intra,FP1
e0_t225,e0_t226,0.2,intra,FP1
e0_t226,e0_t227,0.2667,intra,FP1
e0_t231,e0_t232,0.2,intra,FP1
e0_t235,e0_t236,0.3333,intra,FP1
e0_t244,e0_t245,0.2667,intra,FP1
e0_t245,e0_t246,0.2667,intra,FP1
e0_t9,e0_t10,0.2,intra,FP1
e0_t38,e0_t39,0.2,intra,FP1
e0_t53,e0_t54,0.2667,intra,FP1
e0_t54,e0_t55,0.2,intra,FP1
e0_t57,e0_t58,0.2,intra,FP1
e0_t67,e0_t68,0.3333,intra,FP1
e0_t73,e0_t74,0.2,intra,FP1
e0_t89,e0_t90,0.2667,intra,FP1
e0_t96,e0_t97,0.2667,intra,FP1
e0_t97,e0_t98,0.2667,intra,FP1
e0_t101,e0_t102,0.2,intra,FP1
e0_t115,e0_t116,0.2,intra,FP1
e0_t127,e0_t128,0.2,intra,FP1
e0_t128,e0_t129,0.2,intra,FP1
e0_t131,e0_t132,0.2667,intra,FP1
e0_t132,e0_t133,0.3333,intra,FP1
e0_t167,e0_t168,0.2667,intra,FP1
e0_t183,e0_t184,0.2667,intra,FP1
e0_t197,e0_t198,0.2,intra,FP1
e0_t241,e0_t242,0.2,intra,FP1
e0_t129,e0_t130,0.2,intra,FP1
e0_t130,e0_t131,0.2,intra,FP1
e0_t147,e0_t148,0.2,intra,FP1
e0_t148,e0_t149,0.2,intra,FP1
e0_t154,e0_t155,0.2667,intra,FP1
e0_t155,e0_t156,0.2667,intra,FP1
e0_t160,e0_t161,0.2667,intra,FP1
e0_t171,e0_t172,0.2,intra,FP1
e0_t242,e0_t243,0.2667,intra,FP1
e0_t86,e0_t87,0.2,intra,FP1
e0_t230,e0_t231,0.2,intra,FP1
e0_t254,e0_t255,0.2,intra,FP1
e1_t79,e1_t80,0.2667,intra,FP2
e1_t150,e1_t151,0.4667,intra,FP2
e1_t151,e1_t152,0.3333,intra,FP2
e1_t152,e1_t153,0.2667,intra,FP2
e1_t153,e1_t154,0.2667,intra,FP2
e1_t154,e1_t155,0.3333,intra,FP2
e1_t155,e1_t156,0.4,intra,FP2
e1_t196,e1_t197,0.2667,intra,FP2
e1_t204,e1_t205,0.2667,intra,FP2
e1_t205,e1_t206,0.2667,intra,FP2
e1_t206,e1_t207,0.2,intra,FP2
e1_t0,e1_t1,0.3333,intra,FP2
e1_t144,e1_t145,0.4,intra,FP2
e1_t145,e1_t146,0.2667,intra,FP2
e1_t146,e1_t147,0.3333,intra,FP2
e1_t147,e1_t148,0.2667,intra,FP2
e1_t213,e1_t214,0.5333,intra,FP2
e1_t214,e1_t215,0.3333,intra,FP2
e1_t31,e1_t32,0.4,intra,FP2
e1_t78,e1_t79,0.2,intra,FP2
e1_t104,e1_t105,0.3333,intra,FP2
e1_t105,e1_t106,0.3333,intra,FP2
e1_t246,e1_t247,0.3333,intra,FP2
e1_t250,e1_t251,0.2667,intra,FP2
e1_t61,e1_t62,0.2,intra,FP2
e1_t99,e1_t100,0.2667,intra,FP2
e1_t109,e1_t110,0.3333,intra,FP2
e1_t111,e1_t112,0.2667,intra,FP2
e1_t112,e1_t113,0.3333,intra,FP2
e1_t113,e1_t114,0.2667,intra,FP2
e1_t117,e1_t118,0.2667,intra,FP2
e1_t143,e1_t144,0.4667,intra,FP2
e1_t164,e1_t165,0.2667,intra,FP2
e1_t171,e1_t172,0.2667,intra,FP2
e1_t173,e1_t174,0.3333,intra,FP2
e1_t174,e1_t175,0.3333,intra,FP2
e1_t179,e1_t180,0.2667,intra,FP2
e1_t182,e1_t183,0.2667,intra,FP2
e1_t212,e1_t213,0.4,intra,FP2
e1_t225,e1_t226,0.2667,intra,FP2
e1_t240,e1_t241,0.2667,intra,FP2
e1_t241,e1_t242,0.2,intra,FP2
e1_t244,e1_t245,0.2667,intra,FP2
e1_t251,e1_t252,0.2667,intra,FP2
e1_t254,e1_t255,0.2667,intra,FP2
e1_t1,e1_t2,0.2,intra,FP2
e1_t14,e1_t15,0.2667,intra,FP2
e1_t15,e1_t16,0.2667,intra,FP2
e1_t16,e1_t17,0.3333,intra,FP2
e1_t25,e1_t26,0.2,intra,FP2
e1_t28,e1_t29,0.3333,intra,FP2
e1_t32,e1_t33,0.3333,intra,FP2
e1_t34,e1_t35,0.2667,intra,FP2
e1_t35,e1_t36,0.2667,intra,FP2
e1_t36,e1_t37,0.2667,intra,FP2
e1_t46,e1_t47,0.2,intra,FP2
e1_t47,e1_t48,0.3333,intra,FP2
e1_t53,e1_t54,0.2,intra,FP2
e1_t54,e1_t55,0.2,intra,FP2
e1_t71,e1_t72,0.4,intra,FP2
e1_t72,e1_t73,0.4,intra,FP2
e1_t73,e1_t74,0.3333,intra,FP2
e1_t76,e1_t77,0.4,intra,FP2
e1_t94,e1_t95,0.2667,intra,FP2
e1_t95,e1_t96,0.2667,intra,FP2
e1_t100,e1_t101,0.3333,intra,FP2
e1_t120,e1_t121,0.2667,intra,FP2
e1_t121,e1_t122,0.2,intra,FP2
e1_t125,e1_t126,0.2,intra,FP2
e1_t132,e1_t133,0.2,intra,FP2
e1_t133,e1_t134,0.2,intra,FP2
e1_t134,e1_t135,0.2667,intra,FP2
e1_t139,e1_t140,0.3333,intra,FP2
e1_t140,e1_t141,0.2,intra,FP2
e1_t141,e1_t142,0.2667,intra,FP2
e1_t158,e1_t159,0.3333,intra,FP2
e1_t177,e1_t178,0.2,intra,FP2
e1_t178,e1_t179,0.2667,intra,FP2
e1_t181,e1_t182,0.2,intra,FP2
e1_t184,e1_t185,0.2,intra,FP2
e1_t185,e1_t186,0.2667,intra,FP2
e1_t197,e1_t198,0.2667,intra,FP2
e1_t237,e1_t238,0.4,intra,FP2
e1_t4,e1_t5,0.3333,intra,FP2
e1_t103,e1_t104,0.2,intra,FP2
e1_t195,e1_t196,0.2667,intra,FP2
e1_t198,e1_t199,0.2667,intra,FP2
e1_t199,e1_t200,0.2667,intra,FP2
e1_t242,e1_t243,0.2,intra,FP2
e1_t243,e1_t244,0.3333,intra,FP2
e1_t7,e1_t8,0.3333,intra,FP2
e1_t8,e1_t9,0.3333,intra,FP2
e1_t9,e1_t10,0.2,intra,FP2
e1_t10,e1_t11,0.2667,intra,FP2
e1_t24,e1_t25,0.2667,intra,FP2
e1_t29,e1_t30,0.3333,intra,FP2
e1_t30,e1_t31,0.2,intra,FP2
e1_t39,e1_t40,0.3333,intra,FP2
e1_t40,e1_t41,0.2667,intra,FP2
e1_t59,e1_t60,0.2667,intra,FP2
e1_t60,e1_t61,0.2,intra,FP2
e1_t64,e1_t65,0.2,intra,FP2
e1_t65,e1_t66,0.2667,intra,FP2
e1_t66,e1_t67,0.2,intra,FP2
e1_t74,e1_t75,0.2,intra,FP2
e1_t75,e1_t76,0.4,intra,FP2
e1_t77,e1_t78,0.3333,intra,FP2
e1_t135,e1_t136,0.2667,intra,FP2
e1_t136,e1_t137,0.3333,intra,FP2
e1_t137,e1_t138,0.4,intra,FP2
e1_t138,e1_t139,0.2667,intra,FP2
e1_t69,e1_t70,0.2,intra,FP2
e1_t70,e1_t71,0.2667,intra,FP2
e1_t128,e1_t129,0.2,intra,FP2
e1_t163,e1_t164,0.3333,intra,FP2
e1_t167,e1_t168,0.3333,intra,FP2
e1_t168,e1_t169,0.2,intra,FP2
e1_t172,e1_t173,0.4,intra,FP2
e1_t186,e1_t187,0.2,intra,FP2
e1_t186,e1_t189,0.2,intra,FP2
e1_t188,e1_t189,0.3333,intra,FP2
e1_t189,e1_t190,0.2667,intra,FP2
e1_t191,e1_t192,0.2,intra,FP2
e1_t192,e1_t193,0.2667,intra,FP2
e1_t194,e1_t195,0.3333,intra,FP2
e1_t200,e1_t201,0.2667,intra,FP2
e1_t201,e1_t202,0.3333,intra,FP2
e1_t202,e1_t203,0.2,intra,FP2
e1_t207,e1_t208,0.2,intra,FP2
e1_t208,e1_t209,0.2,intra,FP2
e1_t220,e1_t221,0.3333,intra,FP2
e1_t221,e1_t222,0.2667,intra,FP2
e1_t228,e1_t229,0.2,intra,FP2
e1_t229,e1_t230,0.2667,intra,FP2
e1_t230,e1_t231,0.2667,intra,FP2
e1_t232,e1_t233,0.2667,intra,FP2
e1_t234,e1_t235,0.2,intra,FP2
e1_t236,e1_t237,0.3333,intra,FP2
e1_t238,e1_t239,0.2,intra,FP2
e1_t247,e1_t248,0.2667,intra,FP2
e1_t248,e1_t249,0.3333,intra,FP2
e1_t249,e1_t250,0.2,intra,FP2
e1_t252,e1_t253,0.2667,intra,FP2
e1_t253,e1_t254,0.2,intra,FP2
e1_t6,e1_t7,0.2,intra,FP2
e1_t11,e1_t12,0.2,intra,FP2
e1_t17,e1_t18,0.2,intra,FP2
e1_t26,e1_t27,0.2667,intra,FP2
e1_t33,e1_t34,0.2,intra,FP2
e1_t37,e1_t38,0.2667,intra,FP2
e1_t43,e1_t44,0.2667,intra,FP2
e1_t44,e1_t45,0.2667,intra,FP2
e1_t48,e1_t49,0.2667,intra,FP2
e1_t49,e1_t50,0.2667,intra,FP2
e1_t55,e1_t56,0.2,intra,FP2
e1_t56,e1_t57,0.2667,intra,FP2
e1_t58,e1_t59,0.2,intra,FP2
e1_t67,e1_t68,0.2667,intra,FP2
e1_t68,e1_t69,0.2667,intra,FP2
e1_t80,e1_t81,0.2,intra,FP2
e1_t81,e1_t82,0.2,intra,FP2
e1_t82,e1_t83,0.2,intra,FP2
e1_t83,e1_t84,0.2667,intra,FP2
e1_t84,e1_t85,0.2667,intra,FP2
e1_t85,e1_t86,0.2667,intra,FP2
e1_t86,e1_t87,0.2,intra,FP2
e1_t87,e1_t88,0.2667,intra,FP2
e1_t88,e1_t89,0.2,intra,FP2
e1_t89,e1_t90,0.2,intra,FP2
e1_t91,e1_t92,0.2667,intra,FP2
e1_t92,e1_t93,0.2667,intra,FP2
e1_t93,e1_t94,0.2667,intra,FP2
e1_t102,e1_t103,0.2667,intra,FP2
e1_t114,e1_t115,0.2,intra,FP2
e1_t119,e1_t120,0.2,intra,FP2
e1_t126,e1_t127,0.2,intra,FP2
e1_t127,e1_t128,0.2,intra,FP2
e1_t169,e1_t170,0.2,intra,FP2
e1_t193,e1_t194,0.2,intra,FP2
e1_t209,e1_t210,0.2,intra,FP2
e1_t216,e1_t217,0.2,intra,FP2
e1_t223,e1_t224,0.2667,intra,FP2
e1_t231,e1_t232,0.2,intra,FP2
e1_t245,e1_t246,0.2,intra,FP2
e1_t42,e1_t43,0.2667,intra,FP2
e1_t50,e1_t51,0.2,intra,FP2
e1_t51,e1_t52,0.2,intra,FP2
e1_t52,e1_t53,0.2,intra,FP2
e1_t101,e1_t102,0.2,intra,FP2
e1_t175,e1_t176,0.2,intra,FP2
e1_t239,e1_t240,0.2,intra,FP2
e1_t90,e1_t91,0.2,intra,FP2
e1_t224,e1_t225,0.2,intra,FP2
e1_t215,e1_t216,0.2,intra,FP2
e2_t42,e2_t43,0.2,intra,F7
e2_t93,e2_t94,0.2,intra,F7
e2_t94,e2_t95,0.2,intra,F7
e2_t105,e2_t106,0.3333,intra,F7
e2_t158,e2_t159,0.3333,intra,F7
e2_t159,e2_t160,0.4,intra,F7
e2_t160,e2_t161,0.3333,intra,F7
e2_t172,e2_t173,0.3333,intra,F7
e2_t176,e2_t177,0.2,intra,F7
e2_t177,e2_t178,0.3333,intra,F7
e2_t178,e2_t179,0.3333,intra,F7
e2_t185,e2_t186,0.3333,intra,F7
e2_t186,e2_t187,0.4,intra,F7
e2_t187,e2_t188,0.2667,intra,F7
e2_t188,e2_t189,0.2,intra,F7
e2_t39,e2_t40,0.2,intra,F7
e2_t40,e2_t41,0.2,intra,F7
e2_t41,e2_t42,0.3333,intra,F7
e2_t47,e2_t48,0.2667,intra,F7
e2_t77,e2_t78,0.4,intra,F7
e2_t78,e2_t79,0.3333,intra,F7
e2_t87,e2_t88,0.2,intra,F7
e2_t88,e2_t89,0.3333,intra,F7
e2_t114,e2_t115,0.4,intra,F7
e2_t115,e2_t116,0.2667,intra,F7
e2_t116,e2_t117,0.2,intra,F7
e2_t117,e2_t118,0.2667,intra,F7
e2_t118,e2_t119,0.2667,intra,F7
e2_t119,e2_t120,0.2,intra,F7
e2_t122,e2_t123,0.4,intra,F7
e2_t123,e2_t124,0.3333,intra,F7
e2_t133,e2_t134,0.2,intra,F7
e2_t150,e2_t151,0.2667,intra,F7
e2_t151,e2_t152,0.2,intra,F7
e2_t153,e2_t154,0.2,intra,F7
e2_t154,e2_t155,0.2667,intra,F7
e2_t189,e2_t190,0.2667,intra,F7
e2_t190,e2_t191,0.2,intra,F7
e2_t200,e2_t201,0.2,intra,F7
e2_t201,e2_t202,0.2,intra,F7
e2_t202,e2_t203,0.4,intra,F7
e2_t203,e2_t204,0.2667,intra,F7
e2_t204,e2_t205,0.2667,intra,F7
e2_t205,e2_t206,0.2667,intra,F7
e2_t206,e2_t207,0.2,intra,F7
e2_t207,e2_t208,0.3333,intra,F7
e2_t220,e2_t221,0.2,intra,F7
e2_t237,e2_t238,0.4,intra,F7
e2_t250,e2_t251,0.2,intra,F7
e2_t7,e2_t8,0.4,intra,F7
e2_t8,e2_t9,0.4667,intra,F7
e2_t9,e2_t10,0.2667,intra,F7
e2_t10,e2_t11,0.2667,intra,F7
e2_t11,e2_t12,0.2,intra,F7
e2_t13,e2_t14,0.4,intra,F7
e2_t24,e2_t25,0.4,intra,F7
e2_t25,e2_t26,0.2667,intra,F7
e2_t26,e2_t27,0.2667,intra,F7
e2_t27,e2_t28,0.2,intra,F7
e2_t55,e2_t56,0.2667,intra,F7
e2_t107,e2_t108,0.2,intra,F7
e2_t108,e2_t109,0.2667,intra,F7
e2_t109,e2_t110,0.3333,intra,F7
e2_t120,e2_t121,0.2667,intra,F7
e2_t121,e2_t122,0.4,intra,F7
e2_t130,e2_t131,0.3333,intra,F7
e2_t131,e2_t132,0.2667,intra,F7
e2_t166,e2_t167,0.2,intra,F7
e2_t167,e2_t168,0.3333,intra,F7
e2_t168,e2_t169,0.2667,intra,F7
e2_t169,e2_t170,0.4,intra,F7
e2_t170,e2_t171,0.4,intra,F7
e2_t171,e2_t172,0.4,intra,F7
e2_t183,e2_t184,0.2,intra,F7
e2_t199,e2_t200,0.2,intra,F7
e2_t241,e2_t242,0.4,intra,F7
e2_t2,e2_t3,0.3333,intra,F7
e2_t3,e2_t4,0.2,intra,F7
e2_t6,e2_t7,0.3333,intra,F7
e2_t23,e2_t24,0.3333,intra,F7
e2_t28,e2_t29,0.2667,intra,F7
e2_t29,e2_t30,0.2,intra,F7
e2_t30,e2_t31,0.2667,intra,F7
e2_t43,e2_t44,0.2667,intra,F7
e2_t44,e2_t45,0.2,intra,F7
e2_t69,e2_t70,0.2667,intra,F7
e2_t81,e2_t82,0.2,intra,F7
e2_t82,e2_t83,0.2,intra,F7
e2_t89,e2_t90,0.2,intra,F7
e2_t103,e2_t104,0.2,intra,F7
e2_t104,e2_t105,0.2667,intra,F7
e2_t242,e2_t243,0.2,intra,F7
e2_t243,e2_t244,0.2,intra,F7
e2_t0,e2_t1,0.2667,intra,F7
e2_t1,e2_t2,0.4,intra,F7
e2_t15,e2_t16,0.2667,intra,F7
e2_t16,e2_t17,0.2,intra,F7
e2_t17,e2_t18,0.2,intra,F7
e2_t71,e2_t72,0.3333,intra,F7
e2_t72,e2_t73,0.2667,intra,F7
e2_t96,e2_t97,0.2667,intra,F7
e2_t97,e2_t98,0.3333,intra,F7
e2_t98,e2_t99,0.3333,intra,F7
e2_t99,e2_t100,0.2667,intra,F7
e2_t110,e2_t111,0.2667,intra,F7
e2_t125,e2_t126,0.2,intra,F7
e2_t129,e2_t130,0.2,intra,F7
e2_t191,e2_t192,0.2667,intra,F7
e2_t192,e2_t193,0.2,intra,F7
e2_t193,e2_t194,0.2,intra,F7
e2_t197,e2_t198,0.3333,intra,F7
e2_t95,e2_t96,0.2,intra,F7
e2_t100,e2_t101,0.2667,intra,F7
e2_t101,e2_t102,0.2,intra,F7
e2_t102,e2_t103,0.2667,intra,F7
e2_t128,e2_t129,0.3333,intra,F7
e2_t162,e2_t163,0.2,intra,F7
e2_t163,e2_t164,0.2,intra,F7
e2_t227,e2_t228,0.2,intra,F7
e2_t244,e2_t245,0.2667,intra,F7
e2_t252,e2_t253,0.3333,intra,F7
e2_t253,e2_t254,0.2667,intra,F7
e2_t5,e2_t6,0.2,intra,F7
e2_t66,e2_t67,0.2667,intra,F7
e2_t85,e2_t86,0.3333,intra,F7
e2_t86,e2_t87,0.2667,intra,F7
e2_t156,e2_t157,0.2,intra,F7
e2_t157,e2_t158,0.2667,intra,F7
e2_t184,e2_t185,0.2,intra,F7
e2_t211,e2_t212,0.2,intra,F7
e2_t224,e2_t225,0.2,intra,F7
e2_t225,e2_t226,0.2,intra,F7
e2_t229,e2_t230,0.2667,intra,F7
e2_t230,e2_t231,0.3333,intra,F7
e2_t33,e2_t34,0.2,intra,F7
e2_t46,e2_t47,0.2667,intra,F7
e2_t137,e2_t138,0.2,intra,F7
e2_t139,e2_t140,0.2,intra,F7
e2_t140,e2_t141,0.4667,intra,F7
e2_t141,e2_t142,0.4,intra,F7
e2_t179,e2_t180,0.2667,intra,F7
e2_t180,e2_t181,0.2,intra,F7
e2_t194,e2_t195,0.2667,intra,F7
e2_t195,e2_t196,0.2667,intra,F7
e2_t219,e2_t220,0.2,intra,F7
e2_t231,e2_t232,0.2,intra,F7
e2_t239,e2_t240,0.2667,intra,F7
e2_t240,e2_t241,0.2667,intra,F7
e2_t14,e2_t15,0.3333,intra,F7
e2_t31,e2_t32,0.2,intra,F7
e2_t45,e2_t46,0.2,intra,F7
e2_t52,e2_t53,0.2,intra,F7
e2_t64,e2_t65,0.2,intra,F7
e2_t67,e2_t68,0.3333,intra,F7
e2_t73,e2_t74,0.2667,intra,F7
e2_t106,e2_t107,0.2,intra,F7
e2_t111,e2_t112,0.2,intra,F7
e2_t113,e2_t114,0.2667,intra,F7
e2_t126,e2_t127,0.2,intra,F7
e2_t127,e2_t128,0.2,intra,F7
e2_t135,e2_t136,0.2,intra,F7
e2_t164,e2_t165,0.2,intra,F7
e2_t208,e2_t209,0.3333,intra,F7
e2_t214,e2_t215,0.2,intra,F7
e2_t215,e2_t216,0.2667,intra,F7
e2_t216,e2_t217,0.3333,intra,F7
e2_t217,e2_t218,0.2,intra,F7
e2_t218,e2_t219,0.2667,intra,F7
e2_t238,e2_t239,0.4,intra,F7
e2_t245,e2_t246,0.2667,intra,F7
e2_t251,e2_t252,0.2,intra,F7
e2_t22,e2_t23,0.2,intra,F7
e2_t68,e2_t69,0.3333,intra,F7
e2_t74,e2_t75,0.2667,intra,F7
e2_t75,e2_t76,0.2,intra,F7
e2_t91,e2_t92,0.3333,intra,F7
e2_t92,e2_t93,0.2667,intra,F7
e2_t132,e2_t133,0.2,intra,F7
e2_t212,e2_t213,0.2667,intra,F7
e2_t213,e2_t214,0.2667,intra,F7
e2_t84,e2_t85,0.2667,intra,F7
e2_t136,e2_t137,0.2,intra,F7
e2_t198,e2_t199,0.2,intra,F7
e2_t254,e2_t255,0.2,intra,F7
e2_t236,e2_t237,0.2667,intra,F7
e2_t65,e2_t66,0.2,intra,F7
e2_t83,e2_t84,0.2,intra,F7
e2_t222,e2_t223,0.2,intra,F7
e2_t223,e2_t224,0.2,intra,F7
e2_t234,e2_t235,0.2,intra,F7
e3_t91,e3_t92,0.3333,intra,F3
e3_t92,e3_t93,0.3333,intra,F3
e3_t139,e3_t140,0.3333,intra,F3
e3_t140,e3_t141,0.2667,intra,F3
e3_t151,e3_t152,0.2667,intra,F3
e3_t152,e3_t153,0.3333,intra,F3
e3_t153,e3_t154,0.3333,intra,F3
e3_t190,e3_t191,0.2,intra,F3
e3_t191,e3_t192,0.2,intra,F3
e3_t202,e3_t203,0.2,intra,F3
e3_t203,e3_t204,0.4667,intra,F3
e3_t204,e3_t205,0.3333,intra,F3
e3_t8,e3_t9,0.2,intra,F3
e3_t14,e3_t15,0.2,intra,F3
e3_t15,e3_t16,0.2,intra,F3
e3_t44,e3_t45,0.2667,intra,F3
e3_t59,e3_t60,0.5333,intra,F3
e3_t60,e3_t61,0.3333,intra,F3
e3_t71,e3_t72,0.3333,intra,F3
e3_t72,e3_t73,0.4,intra,F3
e3_t85,e3_t86,0.2667,intra,F3
e3_t86,e3_t87,0.2,intra,F3
e3_t122,e3_t123,0.2,intra,F3
e3_t123,e3_t124,0.2667,intra,F3
e3_t183,e3_t184,0.4,intra,F3
e3_t184,e3_t185,0.4667,intra,F3
e3_t187,e3_t188,0.4,intra,F3
