source,target,weight,type,electrode
e7_t169,e7_t170,0.2,intra,T7
e7_t179,e7_t180,0.2,intra,T7
e7_t218,e7_t219,0.2,intra,T7
e7_t72,e7_t73,0.2667,intra,T7
e7_t123,e7_t124,0.2,intra,T7
e7_t124,e7_t125,0.2667,intra,T7
e7_t200,e7_t201,0.3333,intra,T7
e7_t204,e7_t205,0.3333,intra,T7
e7_t12,e7_t13,0.2,intra,T7
e7_t40,e7_t41,0.2667,intra,T7
e7_t41,e7_t42,0.2,intra,T7
e7_t73,e7_t74,0.2,intra,T7
e7_t188,e7_t189,0.2,intra,T7
e7_t201,e7_t202,0.2,intra,T7
e7_t120,e7_t121,0.2667,intra,T7
e7_t121,e7_t122,0.2,intra,T7
e7_t203,e7_t204,0.2667,intra,T7
e7_t232,e7_t233,0.2,intra,T7
e10_t92,e10_t93,0.2667,intra,C4
e10_t28,e10_t29,0.2,intra,C4
e10_t91,e10_t92,0.2,intra,C4
e11_t7,e11_t8,0.2,intra,T8
e11_t91,e11_t92,0.2667,intra,T8
e11_t155,e11_t156,0.3333,intra,T8
e11_t156,e11_t157,0.2667,intra,T8
e11_t235,e11_t236,0.2,intra,T8
e11_t97,e11_t98,0.2667,intra,T8
e11_t222,e11_t223,0.3333,intra,T8
e11_t8,e11_t9,0.2,intra,T8
e11_t39,e11_t40,0.2,intra,T8
e11_t85,e11_t86,0.2,intra,T8
e11_t221,e11_t222,0.2667,intra,T8
e11_t223,e11_t224,0.2,intra,T8
e11_t124,e11_t125,0.2,intra,T8
e11_t254,e11_t255,0.2667,intra,T8
e15_t201,e15_t202,0.2667,intra,P4
e15_t185,e15_t186,0.2,intra,P4
e16_t25,e16_t26,0.2,intra,P8
e16_t146,e16_t147,0.2,intra,P8
e16_t56,e16_t57,0.2,intra,P8
e16_t220,e16_t221,0.2667,intra,P8
e16_t221,e16_t222,0.2,intra,P8
e16_t222,e16_t223,0.2,intra,P8
e16_t240,e16_t241,0.2,intra,P8
e16_t241,e16_t242,0.2,intra,P8
e16_t252,e16_t253,0.2667,intra,P8
e16_t253,e16_t254,0.2667,intra,P8
e16_t205,e16_t206,0.2,intra,P8
e16_t206,e16_t207,0.2,intra,P8
e16_t124,e16_t125,0.2,intra,P8
e16_t125,e16_t126,0.2667,intra,P8
e16_t126,e16_t127,0.2,intra,P8
e16_t208,e16_t209,0.2,intra,P8
e16_t209,e16_t210,0.2,intra,P8
e16_t218,e16_t219,0.2667,intra,P8
e16_t219,e16_t220,0.2,intra,P8
e16_t93,e16_t94,0.2,intra,P8
e16_t94,e16_t95,0.2,intra,P8
e16_t113,e16_t114,0.2,intra,P8
e16_t114,e16_t115,0.2,intra,P8
e16_t115,e16_t116,0.2,intra,P8
e16_t134,e16_t135,0.2,intra,P8
e16_t78,e16_t79,0.2,intra,P8
e16_t132,e16_t133,0.2,intra,P8
e16_t254,e16_t255,0.2,intra,P8
e17_t18,e17_t19,0.2667,intra,O1
e17_t23,e17_t24,0.2,intra,O1
e17_t24,e17_t25,0.2,intra,O1
e17_t25,e17_t26,0.2,intra,O1
e17_t165,e17_t166,0.2,intra,O1
e17_t172,e17_t173,0.2,intra,O1
e17_t177,e17_t178,0.2,intra,O1
e17_t178,e17_t179,0.2,intra,O1
e17_t192,e17_t193,0.2,intra,O1
e17_t193,e17_t194,0.2,intra,O1
e17_t203,e17_t204,0.2,intra,O1
e17_t204,e17_t205,0.2,intra,O1
e17_t205,e17_t206,0.2,intra,O1
e17_t220,e17_t221,0.2,intra,O1
e17_t221,e17_t222,0.2,intra,O1
e17_t222,e17_t223,0.2,intra,O1
e17_t249,e17_t250,0.2,intra,O1
e17_t250,e17_t251,0.2,intra,O1
e17_t251,e17_t252,0.2,intra,O1
e17_t252,e17_t253,0.2,intra,O1
e17_t5,e17_t6,0.2,intra,O1
e17_t6,e17_t7,0.2,intra,O1
e17_t94,e17_t95,0.2,intra,O1
e17_t197,e17_t198,0.2,intra,O1
e17_t170,e17_t171,0.2,intra,O1
e19_t28,e19_t29,0.4,intra,O2
e19_t76,e19_t77,0.3333,intra,O2
e19_t88,e19_t89,0.2,intra,O2
e19_t89,e19_t90,0.4,intra,O2
e19_t201,e19_t202,0.2,intra,O2
e19_t204,e19_t205,0.4667,intra,O2
e19_t220,e19_t221,0.2667,intra,O2
e19_t233,e19_t234,0.2667,intra,O2
e19_t29,e19_t30,0.4,intra,O2
e19_t156,e19_t157,0.4,intra,O2
e19_t157,e19_t158,0.2667,intra,O2
e19_t221,e19_t222,0.2,intra,O2
e19_t92,e19_t93,0.2,intra,O2
e19_t93,e19_t94,0.2,intra,O2
e19_t104,e19_t105,0.2,intra,O2
e19_t137,e19_t138,0.4667,intra,O2
e19_t184,e19_t185,0.3333,intra,O2
e19_t185,e19_t186,0.3333,intra,O2
e19_t201,e19_t205,0.2,intra,O2
e19_t217,e19_t218,0.2,intra,O2
e19_t8,e19_t9,0.2667,intra,O2
e19_t9,e19_t10,0.3333,intra,O2
e19_t12,e19_t13,0.5333,intra,O2
e19_t13,e19_t14,0.4667,intra,O2
e19_t72,e19_t73,0.2667,intra,O2
e19_t73,e19_t74,0.3333,intra,O2
e19_t124,e19_t125,0.3333,intra,O2
e19_t136,e19_t137,0.2667,intra,O2
e19_t248,e19_t249,0.2,intra,O2
e19_t249,e19_t250,0.2667,intra,O2
e19_t120,e19_t121,0.2,intra,O2
e19_t60,e19_t61,0.2,intra,O2
e19_t61,e19_t62,0.2,intra,O2
e19_t121,e19_t122,0.2,intra,O2
e19_t188,e19_t189,0.3333,intra,O2
e19_t252,e19_t253,0.3333,intra,O2
e19_t253,e19_t254,0.2667,intra,O2
e19_t236,e19_t237,0.2,intra,O2
e19_t125,e19_t126,0.2,intra,O2
e20_t73,e20_t74,0.2,intra,A1
e20_t249,e20_t250,0.2,intra,A1
e0_t128,e1_t128,0.5339,inter,FP1-FP2
e0_t128,e2_t128,0.6139,inter,FP1-F7
e0_t128,e4_t128,0.8054,inter,FP1-FZ
e0_t128,e5_t128,0.755,inter,FP1-F4
e0_t128,e6_t128,0.8351,inter,FP1-F8
e0_t128,e7_t128,0.5719,inter,FP1-T7
e0_t128,e16_t128,0.7612,inter,FP1-P8
e0_t128,e17_t128,0.8647,inter,FP1-O1
e0_t128,e18_t128,0.6823,inter,FP1-OZ
e1_t128,e2_t128,0.6653,inter,FP2-F7
e1_t128,e3_t128,0.6684,inter,FP2-F3
e1_t128,e4_t128,0.6028,inter,FP2-FZ
e1_t128,e5_t128,0.5532,inter,FP2-F4
e1_t128,e6_t128,0.744,inter,FP2-F8
e1_t128,e7_t128,0.6879,inter,FP2-T7
e1_t128,e17_t128,0.6509,inter,FP2-O1
e2_t128,e4_t128,0.5788,inter,F7-FZ
e2_t128,e5_t128,0.5239,inter,F7-F4
e2_t128,e6_t128,0.6226,inter,F7-F8
e2_t128,e7_t128,0.8321,inter,F7-T7
e2_t128,e16_t128,0.5757,inter,F7-P8
e2_t128,e17_t128,0.6044,inter,F7-O1
e2_t128,e18_t128,0.6504,inter,F7-OZ
e3_t128,e5_t128,0.5092,inter,F3-F4
e3_t128,e6_t128,0.5087,inter,F3-F8
e3_t128,e11_t128,0.5078,inter,F3-T8
e3_t128,e17_t128,0.6006,inter,F3-O1
e4_t128,e5_t128,0.8771,inter,FZ-F4
e4_t128,e6_t128,0.9283,inter,FZ-F8
e4_t128,e7_t128,0.6415,inter,FZ-T7
e4_t128,e16_t128,0.8707,inter,FZ-P8
e4_t128,e17_t128,0.9205,inter,FZ-O1
e4_t128,e18_t128,0.7722,inter,FZ-OZ
e4_t128,e19_t128,0.5894,inter,FZ-O2
e5_t128,e6_t128,0.747,inter,F4-F8
e5_t128,e7_t128,0.7108,inter,F4-T7
e5_t128,e11_t128,0.7047,inter,F4-T8
e5_t128,e16_t128,0.925,inter,F4-P8
e5_t128,e17_t128,0.8273,inter,F4-O1
e5_t128,e18_t128,0.7846,inter,F4-OZ
e5_t128,e19_t128,0.5993,inter,F4-O2
e6_t128,e7_t128,0.5812,inter,F8-T7
e6_t128,e16_t128,0.7031,inter,F8-P8
e6_t128,e17_t128,0.9508,inter,F8-O1
e6_t128,e18_t128,0.5788,inter,F8-OZ
e7_t128,e16_t128,0.7229,inter,T7-P8
e7_t128,e17_t128,0.5465,inter,T7-O1
e7_t128,e18_t128,0.7214,inter,T7-OZ
e7_t128,e19_t128,0.641,inter,T7-O2
e8_t128,e9_t128,0.9319,inter,C3-CZ
e9_t128,e10_t128,0.6451,inter,CZ-C4
e10_t128,e11_t128,0.6274,inter,C4-T8
e10_t128,e17_t128,0.5587,inter,C4-O1
e11_t128,e16_t128,0.5834,inter,T8-P8
e16_t128,e17_t128,0.7755,inter,P8-O1
e16_t128,e18_t128,0.8876,inter,P8-OZ
e16_t128,e19_t128,0.7456,inter,P8-O2
e17_t128,e18_t128,0.6454,inter,O1-OZ
e18_t128,e19_t128,0.9088,inter,OZ-O2
